p1,r,p2
"(:Paper {publication_year: 2017,paper_index: 1708.02709,title: Recent Trends in Deep Learning Based Natural Language Processing,authors: [Tom Young, Devamanyu Hazarika, Soujanya Poria, Erik Cambria]})",[:CITES],"(:Paper {publication_year: 2017,paper_index: 1702.01923,title: Comparative Study of CNN and RNN for Natural Language Processing,authors: [Wenpeng Yin, Katharina Kann, Mo Yu, Hinrich Schütze]})"
"(:Paper {publication_year: 2017,paper_index: 1708.02709,title: Recent Trends in Deep Learning Based Natural Language Processing,authors: [Tom Young, Devamanyu Hazarika, Soujanya Poria, Erik Cambria]})",[:CITES],"(:Paper {publication_year: 2016,paper_index: 1603.01360,title: Neural Architectures for Named Entity Recognition,authors: [Guillaume Lample, Miguel Ballesteros, Sandeep Subramanian, Kazuya Kawakami, Chris Dyer]})"
"(:Paper {publication_year: 2017,paper_index: 1708.02709,title: Recent Trends in Deep Learning Based Natural Language Processing,authors: [Tom Young, Devamanyu Hazarika, Soujanya Poria, Erik Cambria]})",[:CITES],"(:Paper {publication_year: 2013,paper_index: 1308.0850,title: Generating Sequences With Recurrent Neural Networks,authors: [Alex Graves]})"
"(:Paper {publication_year: 2017,paper_index: 1708.02709,title: Recent Trends in Deep Learning Based Natural Language Processing,authors: [Tom Young, Devamanyu Hazarika, Soujanya Poria, Erik Cambria]})",[:CITES],"(:Paper {publication_year: 2015,paper_index: 1506.08909,title: The Ubuntu Dialogue Corpus: A Large Dataset for Research in Unstructured
  Multi-Turn Dialogue Systems,authors: [Ryan Lowe, Nissan Pow, Iulian Serban, Joelle Pineau]})"
"(:Paper {publication_year: 2017,paper_index: 1708.02709,title: Recent Trends in Deep Learning Based Natural Language Processing,authors: [Tom Young, Devamanyu Hazarika, Soujanya Poria, Erik Cambria]})",[:CITES],"(:Paper {publication_year: 2015,paper_index: 1506.05869,title: A Neural Conversational Model,authors: [Oriol Vinyals, Quoc Le]})"
"(:Paper {publication_year: 2017,paper_index: 1708.02709,title: Recent Trends in Deep Learning Based Natural Language Processing,authors: [Tom Young, Devamanyu Hazarika, Soujanya Poria, Erik Cambria]})",[:CITES],"(:Paper {publication_year: 2016,paper_index: 1603.06155,title: A Persona-Based Neural Conversation Model,authors: [Jiwei Li, Michel Galley, Chris Brockett, Georgios P. Spithourakis, Jianfeng Gao, Bill Dolan]})"
"(:Paper {publication_year: 2017,paper_index: 1708.02709,title: Recent Trends in Deep Learning Based Natural Language Processing,authors: [Tom Young, Devamanyu Hazarika, Soujanya Poria, Erik Cambria]})",[:CITES],"(:Paper {publication_year: 2014,paper_index: 1409.0473,title: Neural Machine Translation by Jointly Learning to Align and Translate,authors: [Dzmitry Bahdanau, Kyunghyun Cho, Yoshua Bengio]})"
"(:Paper {publication_year: 2018,paper_index: 1803.09780,title: Quantum Entanglement in Deep Learning Architectures,authors: [Yoav Levine, Or Sharir, Nadav Cohen, Amnon Shashua]})",[:CITES],"(:Paper {publication_year: 2014,paper_index: 1409.0473,title: Neural Machine Translation by Jointly Learning to Align and Translate,authors: [Dzmitry Bahdanau, Kyunghyun Cho, Yoshua Bengio]})"
"(:Paper {publication_year: 2017,paper_index: 1708.02709,title: Recent Trends in Deep Learning Based Natural Language Processing,authors: [Tom Young, Devamanyu Hazarika, Soujanya Poria, Erik Cambria]})",[:CITES],"(:Paper {publication_year: 2015,paper_index: 1509.00685,title: A Neural Attention Model for Abstractive Sentence Summarization,authors: [Alexander M. Rush, Sumit Chopra, Jason Weston]})"
"(:Paper {publication_year: 2017,paper_index: 1708.02709,title: Recent Trends in Deep Learning Based Natural Language Processing,authors: [Tom Young, Devamanyu Hazarika, Soujanya Poria, Erik Cambria]})",[:CITES],"(:Paper {publication_year: 2017,paper_index: 1705.04304,title: A Deep Reinforced Model for Abstractive Summarization,authors: [Romain Paulus, Caiming Xiong, Richard Socher]})"
"(:Paper {publication_year: 2017,paper_index: 1708.02709,title: Recent Trends in Deep Learning Based Natural Language Processing,authors: [Tom Young, Devamanyu Hazarika, Soujanya Poria, Erik Cambria]})",[:CITES],"(:Paper {publication_year: 2016,paper_index: 1605.08900,title: Aspect Level Sentiment Classification with Deep Memory Network,authors: [Duyu Tang, Bing Qin, Ting Liu]})"
"(:Paper {publication_year: 2017,paper_index: 1708.02709,title: Recent Trends in Deep Learning Based Natural Language Processing,authors: [Tom Young, Devamanyu Hazarika, Soujanya Poria, Erik Cambria]})",[:CITES],"(:Paper {publication_year: 2014,paper_index: 1410.3916,title: Memory Networks,authors: [Jason Weston, Sumit Chopra, Antoine Bordes]})"
"(:Paper {publication_year: 2017,paper_index: 1708.02709,title: Recent Trends in Deep Learning Based Natural Language Processing,authors: [Tom Young, Devamanyu Hazarika, Soujanya Poria, Erik Cambria]})",[:CITES],"(:Paper {publication_year: 2017,paper_index: 1706.03762,title: Attention Is All You Need,authors: [Ashish Vaswani, Noam Shazeer, Niki Parmar, Jakob Uszkoreit, Llion Jones, Aidan N. Gomez, Lukasz Kaiser, Illia Polosukhin]})"
"(:Paper {publication_year: 2017,paper_index: 1708.02709,title: Recent Trends in Deep Learning Based Natural Language Processing,authors: [Tom Young, Devamanyu Hazarika, Soujanya Poria, Erik Cambria]})",[:CITES],"(:Paper {publication_year: 2016,paper_index: 1607.06450,title: Layer Normalization,authors: [Jimmy Lei Ba, Jamie Ryan Kiros, Geoffrey E. Hinton]})"
"(:Paper {publication_year: 2018,paper_index: 1804.03235,title: Large scale distributed neural network training through online
  distillation,authors: [Rohan Anil, Gabriel Pereyra, Alexandre Passos, Robert Ormandi, George E. Dahl, Geoffrey E. Hinton]})",[:CITES],"(:Paper {publication_year: 2016,paper_index: 1607.06450,title: Layer Normalization,authors: [Jimmy Lei Ba, Jamie Ryan Kiros, Geoffrey E. Hinton]})"
"(:Paper {publication_year: 2017,paper_index: 1708.02709,title: Recent Trends in Deep Learning Based Natural Language Processing,authors: [Tom Young, Devamanyu Hazarika, Soujanya Poria, Erik Cambria]})",[:CITES],"(:Paper {publication_year: 2014,paper_index: 1406.1827,title: Recursive Neural Networks Can Learn Logical Semantics,authors: [Samuel R. Bowman, Christopher Potts, Christopher D. Manning]})"
"(:Paper {publication_year: 2017,paper_index: 1708.02709,title: Recent Trends in Deep Learning Based Natural Language Processing,authors: [Tom Young, Devamanyu Hazarika, Soujanya Poria, Erik Cambria]})",[:CITES],"(:Paper {publication_year: 2015,paper_index: 1503.00075,title: Improved Semantic Representations From Tree-Structured Long Short-Term
  Memory Networks,authors: [Kai Sheng Tai, Richard Socher, Christopher D. Manning]})"
"(:Paper {publication_year: 2017,paper_index: 1708.02709,title: Recent Trends in Deep Learning Based Natural Language Processing,authors: [Tom Young, Devamanyu Hazarika, Soujanya Poria, Erik Cambria]})",[:CITES],"(:Paper {publication_year: 2015,paper_index: 1511.06732,title: Sequence Level Training with Recurrent Neural Networks,authors: [Marc'Aurelio Ranzato, Sumit Chopra, Michael Auli, Wojciech Zaremba]})"
"(:Paper {publication_year: 2017,paper_index: 1708.02709,title: Recent Trends in Deep Learning Based Natural Language Processing,authors: [Tom Young, Devamanyu Hazarika, Soujanya Poria, Erik Cambria]})",[:CITES],"(:Paper {publication_year: 2016,paper_index: 1606.01541,title: Deep Reinforcement Learning for Dialogue Generation,authors: [Jiwei Li, Will Monroe, Alan Ritter, Michel Galley, Jianfeng Gao, Dan Jurafsky]})"
"(:Paper {publication_year: 2017,paper_index: 1708.02709,title: Recent Trends in Deep Learning Based Natural Language Processing,authors: [Tom Young, Devamanyu Hazarika, Soujanya Poria, Erik Cambria]})",[:CITES],"(:Paper {publication_year: 2016,paper_index: 1605.07669,title: On-line Active Reward Learning for Policy Optimisation in Spoken
  Dialogue Systems,authors: [Pei-Hao Su, Milica Gasic, Nikola Mrksic, Lina Rojas-Barahona, Stefan Ultes, David Vandyke, Tsung-Hsien Wen, Steve Young]})"
"(:Paper {publication_year: 2017,paper_index: 1708.02709,title: Recent Trends in Deep Learning Based Natural Language Processing,authors: [Tom Young, Devamanyu Hazarika, Soujanya Poria, Erik Cambria]})",[:CITES],"(:Paper {publication_year: 2017,paper_index: 1701.06547,title: Adversarial Learning for Neural Dialogue Generation,authors: [Jiwei Li, Will Monroe, Tianlin Shi, Sébastien Jean, Alan Ritter, Dan Jurafsky]})"
"(:Paper {publication_year: 2017,paper_index: 1708.02709,title: Recent Trends in Deep Learning Based Natural Language Processing,authors: [Tom Young, Devamanyu Hazarika, Soujanya Poria, Erik Cambria]})",[:CITES],"(:Paper {publication_year: 2013,paper_index: 1312.6114,title: Auto-Encoding Variational Bayes,authors: [Diederik P Kingma, Max Welling]})"
"(:Paper {publication_year: 2017,paper_index: 1712.04741,title: Mathematics of Deep Learning,authors: [Rene Vidal, Joan Bruna, Raja Giryes, Stefano Soatto]})",[:CITES],"(:Paper {publication_year: 2013,paper_index: 1312.6114,title: Auto-Encoding Variational Bayes,authors: [Diederik P Kingma, Max Welling]})"
"(:Paper {publication_year: 2017,paper_index: 1708.02709,title: Recent Trends in Deep Learning Based Natural Language Processing,authors: [Tom Young, Devamanyu Hazarika, Soujanya Poria, Erik Cambria]})",[:CITES],"(:Paper {publication_year: 2015,paper_index: 1511.06349,title: Generating Sentences from a Continuous Space,authors: [Samuel R. Bowman, Luke Vilnis, Oriol Vinyals, Andrew M. Dai, Rafal Jozefowicz, Samy Bengio]})"
"(:Paper {publication_year: 2017,paper_index: 1708.02709,title: Recent Trends in Deep Learning Based Natural Language Processing,authors: [Tom Young, Devamanyu Hazarika, Soujanya Poria, Erik Cambria]})",[:CITES],"(:Paper {publication_year: 2017,paper_index: 1703.00955,title: Toward Controlled Generation of Text,authors: [Zhiting Hu, Zichao Yang, Xiaodan Liang, Ruslan Salakhutdinov, Eric P. Xing]})"
"(:Paper {publication_year: 2017,paper_index: 1708.02709,title: Recent Trends in Deep Learning Based Natural Language Processing,authors: [Tom Young, Devamanyu Hazarika, Soujanya Poria, Erik Cambria]})",[:CITES],"(:Paper {publication_year: 2017,paper_index: 1705.10929,title: Adversarial Generation of Natural Language,authors: [Sai Rajeswar, Sandeep Subramanian, Francis Dutil, Christopher Pal, Aaron Courville]})"
"(:Paper {publication_year: 2017,paper_index: 1708.02709,title: Recent Trends in Deep Learning Based Natural Language Processing,authors: [Tom Young, Devamanyu Hazarika, Soujanya Poria, Erik Cambria]})",[:CITES],"(:Paper {publication_year: 2015,paper_index: 1508.01991,title: Bidirectional LSTM-CRF Models for Sequence Tagging,authors: [Zhiheng Huang, Wei Xu, Kai Yu]})"
"(:Paper {publication_year: 2017,paper_index: 1708.02709,title: Recent Trends in Deep Learning Based Natural Language Processing,authors: [Tom Young, Devamanyu Hazarika, Soujanya Poria, Erik Cambria]})",[:CITES],"(:Paper {publication_year: 2016,paper_index: 1603.06042,title: Globally Normalized Transition-Based Neural Networks,authors: [Daniel Andor, Chris Alberti, David Weiss, Aliaksei Severyn, Alessandro Presta, Kuzman Ganchev, Slav Petrov, Michael Collins]})"
"(:Paper {publication_year: 2017,paper_index: 1708.02709,title: Recent Trends in Deep Learning Based Natural Language Processing,authors: [Tom Young, Devamanyu Hazarika, Soujanya Poria, Erik Cambria]})",[:CITES],"(:Paper {publication_year: 2015,paper_index: 1505.08075,title: Transition-Based Dependency Parsing with Stack Long Short-Term Memory,authors: [Chris Dyer, Miguel Ballesteros, Wang Ling, Austin Matthews, Noah A. Smith]})"
"(:Paper {publication_year: 2017,paper_index: 1708.02709,title: Recent Trends in Deep Learning Based Natural Language Processing,authors: [Tom Young, Devamanyu Hazarika, Soujanya Poria, Erik Cambria]})",[:CITES],"(:Paper {publication_year: 2015,paper_index: 1506.06158,title: Structured Training for Neural Network Transition-Based Parsing,authors: [David Weiss, Chris Alberti, Michael Collins, Slav Petrov]})"
