p1,r,p2
"(:Paper {publication_year: 2018,paper_index: 1802.02840,title: Neural Network Renormalization Group,authors: [Shuo-Hui Li, Lei Wang]})",[:CITES],"(:Paper {publication_year: 2016,paper_index: 1610.02746,title: Accelerate Monte Carlo Simulations with Restricted Boltzmann Machines,authors: [Li Huang, Lei Wang]})"
"(:Paper {publication_year: 2018,paper_index: 1802.02840,title: Neural Network Renormalization Group,authors: [Shuo-Hui Li, Lei Wang]})",[:CITES],"(:Paper {publication_year: 2017,paper_index: 1705.07057,title: Masked Autoregressive Flow for Density Estimation,authors: [George Papamakarios, Theo Pavlakou, Iain Murray]})"
"(:Paper {publication_year: 2018,paper_index: 1802.02840,title: Neural Network Renormalization Group,authors: [Shuo-Hui Li, Lei Wang]})",[:CITES],"(:Paper {publication_year: 2018,paper_index: 1807.03039,title: Glow: Generative Flow with Invertible 1x1 Convolutions,authors: [Diederik P. Kingma, Prafulla Dhariwal]})"
"(:Paper {publication_year: 2018,paper_index: 1802.02840,title: Neural Network Renormalization Group,authors: [Shuo-Hui Li, Lei Wang]})",[:CITES],"(:Paper {publication_year: 2016,paper_index: 1610.03137,title: Self-Learning Monte Carlo Method,authors: [Junwei Liu, Yang Qi, Zi Yang Meng, Liang Fu]})"
"(:Paper {publication_year: 2018,paper_index: 1802.02840,title: Neural Network Renormalization Group,authors: [Shuo-Hui Li, Lei Wang]})",[:CITES],"(:Paper {publication_year: 2017,paper_index: 1711.10433,title: Parallel WaveNet: Fast High-Fidelity Speech Synthesis,authors: [Aaron van den Oord, Yazhe Li, Igor Babuschkin, Karen Simonyan, Oriol Vinyals, Koray Kavukcuoglu, George van den Driessche, Edward Lockhart, Luis C. Cobo, Florian Stimberg, Norman Casagrande, Dominik Grewe, Seb Noury, Sander Dieleman, Erich Elsen, Nal Kalchbrenner, Heiga Zen, Alex Graves, Helen King, Tom Walters, Dan Belov, Demis Hassabis]})"
"(:Paper {publication_year: 2018,paper_index: 1802.02840,title: Neural Network Renormalization Group,authors: [Shuo-Hui Li, Lei Wang]})",[:CITES],"(:Paper {publication_year: 2014,paper_index: 1412.6980,title: Adam: A Method for Stochastic Optimization,authors: [Diederik P. Kingma, Jimmy Ba]})"
"(:Paper {publication_year: 2018,paper_index: 1804.03235,title: Large scale distributed neural network training through online
  distillation,authors: [Rohan Anil, Gabriel Pereyra, Alexandre Passos, Robert Ormandi, George E. Dahl, Geoffrey E. Hinton]})",[:CITES],"(:Paper {publication_year: 2014,paper_index: 1412.6980,title: Adam: A Method for Stochastic Optimization,authors: [Diederik P. Kingma, Jimmy Ba]})"
"(:Paper {publication_year: 2018,paper_index: 1802.02840,title: Neural Network Renormalization Group,authors: [Shuo-Hui Li, Lei Wang]})",[:CITES],"(:Paper {publication_year: 2017,paper_index: 1711.10604,title: TensorFlow Distributions,authors: [Joshua V. Dillon, Ian Langmore, Dustin Tran, Eugene Brevdo, Srinivas Vasudevan, Dave Moore, Brian Patton, Alex Alemi, Matt Hoffman, Rif A. Saurous]})"
"(:Paper {publication_year: 2018,paper_index: 1802.02840,title: Neural Network Renormalization Group,authors: [Shuo-Hui Li, Lei Wang]})",[:CITES],"(:Paper {publication_year: 2016,paper_index: 1603.04467,title: TensorFlow: Large-Scale Machine Learning on Heterogeneous Distributed
  Systems,authors: [Martín Abadi, Ashish Agarwal, Paul Barham, Eugene Brevdo, Zhifeng Chen, Craig Citro, Greg S. Corrado, Andy Davis, Jeffrey Dean, Matthieu Devin, Sanjay Ghemawat, Ian Goodfellow, Andrew Harp, Geoffrey Irving, Michael Isard, Yangqing Jia, Rafal Jozefowicz, Lukasz Kaiser, Manjunath Kudlur, Josh Levenberg, Dan Mane, Rajat Monga, Sherry Moore, Derek Murray, Chris Olah, Mike Schuster, Jonathon Shlens, Benoit Steiner, Ilya Sutskever, Kunal Talwar, Paul Tucker, Vincent Vanhoucke, Vijay Vasudevan, Fernanda Viegas, Oriol Vinyals, Pete Warden, Martin Wattenberg, Martin Wicke, Yuan Yu, Xiaoqiang Zheng]})"
"(:Paper {publication_year: 2018,paper_index: 1802.02840,title: Neural Network Renormalization Group,authors: [Shuo-Hui Li, Lei Wang]})",[:CITES],"(:Paper {publication_year: 2013,paper_index: 1309.6282,title: Exact holographic mapping and emergent space-time geometry,authors: [Xiao-Liang Qi]})"
"(:Paper {publication_year: 2018,paper_index: 1802.02840,title: Neural Network Renormalization Group,authors: [Shuo-Hui Li, Lei Wang]})",[:CITES],"(:Paper {publication_year: 2017,paper_index: 1706.07561,title: A-NICE-MC: Adversarial Training for MCMC,authors: [Jiaming Song, Shengjia Zhao, Stefano Ermon]})"
"(:Paper {publication_year: 2018,paper_index: 1802.02840,title: Neural Network Renormalization Group,authors: [Shuo-Hui Li, Lei Wang]})",[:CITES],"(:Paper {publication_year: 2017,paper_index: 1711.09268,title: Generalizing Hamiltonian Monte Carlo with Neural Networks,authors: [Daniel Levy, Matthew D. Hoffman, Jascha Sohl-Dickstein]})"
"(:Paper {publication_year: 2017,paper_index: 1704.01552,title: Deep Learning and Quantum Entanglement: Fundamental Connections with
  Implications to Network Design,authors: [Yoav Levine, David Yakira, Nadav Cohen, Amnon Shashua]})",[:CITES],"(:Paper {publication_year: 2013,paper_index: 1312.6203,title: Spectral Networks and Locally Connected Networks on Graphs,authors: [Joan Bruna, Wojciech Zaremba, Arthur Szlam, Yann LeCun]})"
"(:Paper {publication_year: 2017,paper_index: 1704.01552,title: Deep Learning and Quantum Entanglement: Fundamental Connections with
  Implications to Network Design,authors: [Yoav Levine, David Yakira, Nadav Cohen, Amnon Shashua]})",[:CITES],"(:Paper {publication_year: 2017,paper_index: 1701.04831,title: Equivalence of restricted Boltzmann machines and tensor network states,authors: [Jing Chen, Song Cheng, Haidong Xie, Lei Wang, Tao Xiang]})"
"(:Paper {publication_year: 2017,paper_index: 1704.01552,title: Deep Learning and Quantum Entanglement: Fundamental Connections with
  Implications to Network Design,authors: [Yoav Levine, David Yakira, Nadav Cohen, Amnon Shashua]})",[:CITES],"(:Paper {publication_year: 2016,paper_index: 1609.09060,title: Machine Learning Topological States,authors: [Dong-Ling Deng, Xiaopeng Li, S. Das Sarma]})"
"(:Paper {publication_year: 2017,paper_index: 1704.01552,title: Deep Learning and Quantum Entanglement: Fundamental Connections with
  Implications to Network Design,authors: [Yoav Levine, David Yakira, Nadav Cohen, Amnon Shashua]})",[:CITES],"(:Paper {publication_year: 2017,paper_index: 1701.04844,title: Quantum Entanglement in Neural Network States,authors: [Dong-Ling Deng, Xiaopeng Li, S. Das Sarma]})"
"(:Paper {publication_year: 2017,paper_index: 1704.01552,title: Deep Learning and Quantum Entanglement: Fundamental Connections with
  Implications to Network Design,authors: [Yoav Levine, David Yakira, Nadav Cohen, Amnon Shashua]})",[:CITES],"(:Paper {publication_year: 2015,paper_index: 1512.03385,title: Deep Residual Learning for Image Recognition,authors: [Kaiming He, Xiangyu Zhang, Shaoqing Ren, Jian Sun]})"
"(:Paper {publication_year: 2017,paper_index: 1704.01552,title: Deep Learning and Quantum Entanglement: Fundamental Connections with
  Implications to Network Design,authors: [Yoav Levine, David Yakira, Nadav Cohen, Amnon Shashua]})",[:CITES],"(:Paper {publication_year: 2015,paper_index: 1506.05163,title: Deep Convolutional Networks on Graph-Structured Data,authors: [Mikael Henaff, Joan Bruna, Yann LeCun]})"
"(:Paper {publication_year: 2017,paper_index: 1704.01552,title: Deep Learning and Quantum Entanglement: Fundamental Connections with
  Implications to Network Design,authors: [Yoav Levine, David Yakira, Nadav Cohen, Amnon Shashua]})",[:CITES],"(:Paper {publication_year: 2016,paper_index: 1606.06737,title: Criticality in Formal Languages and Statistical Physics,authors: [Henry W. Lin, Max Tegmark]})"
"(:Paper {publication_year: 2017,paper_index: 1704.01552,title: Deep Learning and Quantum Entanglement: Fundamental Connections with
  Implications to Network Design,authors: [Yoav Levine, David Yakira, Nadav Cohen, Amnon Shashua]})",[:CITES],"(:Paper {publication_year: 2014,paper_index: 1402.0939,title: NCON: A tensor network contractor for MATLAB,authors: [Robert N. C. Pfeifer, Glen Evenbly, Sukhwinder Singh, Guifre Vidal]})"
"(:Paper {publication_year: 2017,paper_index: 1704.01552,title: Deep Learning and Quantum Entanglement: Fundamental Connections with
  Implications to Network Design,authors: [Yoav Levine, David Yakira, Nadav Cohen, Amnon Shashua]})",[:CITES],"(:Paper {publication_year: 2016,paper_index: 1603.00954,title: Training Input-Output Recurrent Neural Networks through Spectral Methods,authors: [Hanie Sedghi, Anima Anandkumar]})"
"(:Paper {publication_year: 2017,paper_index: 1704.01552,title: Deep Learning and Quantum Entanglement: Fundamental Connections with
  Implications to Network Design,authors: [Yoav Levine, David Yakira, Nadav Cohen, Amnon Shashua]})",[:CITES],"(:Paper {publication_year: 2017,paper_index: 1703.02065,title: On the Expressive Power of Overlapping Architectures of Deep Learning,authors: [Or Sharir, Amnon Shashua]})"
"(:Paper {publication_year: 2017,paper_index: 1704.01552,title: Deep Learning and Quantum Entanglement: Fundamental Connections with
  Implications to Network Design,authors: [Yoav Levine, David Yakira, Nadav Cohen, Amnon Shashua]})",[:CITES],"(:Paper {publication_year: 2016,paper_index: 1605.05775,title: Supervised Learning with Quantum-Inspired Tensor Networks,authors: [E. Miles Stoudenmire, David J. Schwab]})"
"(:Paper {publication_year: 2017,paper_index: 1704.01552,title: Deep Learning and Quantum Entanglement: Fundamental Connections with
  Implications to Network Design,authors: [Yoav Levine, David Yakira, Nadav Cohen, Amnon Shashua]})",[:CITES],"(:Paper {publication_year: 2009,paper_index: 0912.1651,title: Entanglement Renormalization: an introduction,authors: [Guifre Vidal]})"
"(:Paper {publication_year: 2017,paper_index: 1712.04741,title: Mathematics of Deep Learning,authors: [Rene Vidal, Joan Bruna, Raja Giryes, Stefano Soatto]})",[:CITES],"(:Paper {publication_year: 2015,paper_index: 1503.05938,title: On Invariance and Selectivity in Representation Learning,authors: [Fabio Anselmi, Lorenzo Rosasco, Tomaso Poggio]})"
"(:Paper {publication_year: 2017,paper_index: 1712.04741,title: Mathematics of Deep Learning,authors: [Rene Vidal, Joan Bruna, Raja Giryes, Stefano Soatto]})",[:CITES],"(:Paper {publication_year: 2017,paper_index: 1703.00810,title: Opening the Black Box of Deep Neural Networks via Information,authors: [Ravid Shwartz-Ziv, Naftali Tishby]})"
"(:Paper {publication_year: 2017,paper_index: 1712.04741,title: Mathematics of Deep Learning,authors: [Rene Vidal, Joan Bruna, Raja Giryes, Stefano Soatto]})",[:CITES],"(:Paper {publication_year: 2016,paper_index: 1611.01353,title: Information Dropout: Learning Optimal Representations Through Noisy
  Computation,authors: [Alessandro Achille, Stefano Soatto]})"
"(:Paper {publication_year: 2017,paper_index: 1712.04741,title: Mathematics of Deep Learning,authors: [Rene Vidal, Joan Bruna, Raja Giryes, Stefano Soatto]})",[:CITES],"(:Paper {publication_year: 2016,paper_index: 1612.00410,title: Deep Variational Information Bottleneck,authors: [Alexander A. Alemi, Ian Fischer, Joshua V. Dillon, Kevin Murphy]})"
"(:Paper {publication_year: 2017,paper_index: 1712.04741,title: Mathematics of Deep Learning,authors: [Rene Vidal, Joan Bruna, Raja Giryes, Stefano Soatto]})",[:CITES],"(:Paper {publication_year: 2017,paper_index: 1703.04933,title: Sharp Minima Can Generalize For Deep Nets,authors: [Laurent Dinh, Razvan Pascanu, Samy Bengio, Yoshua Bengio]})"
"(:Paper {publication_year: 2017,paper_index: 1704.01552,title: Deep Learning and Quantum Entanglement: Fundamental Connections with
  Implications to Network Design,authors: [Yoav Levine, David Yakira, Nadav Cohen, Amnon Shashua]})",[:CITES],"(:Paper {publication_year: 2015,paper_index: 1506.08473,title: Beating the Perils of Non-Convexity: Guaranteed Training of Neural
  Networks using Tensor Methods,authors: [Majid Janzamin, Hanie Sedghi, Anima Anandkumar]})"
"(:Paper {publication_year: 2017,paper_index: 1712.04741,title: Mathematics of Deep Learning,authors: [Rene Vidal, Joan Bruna, Raja Giryes, Stefano Soatto]})",[:CITES],"(:Paper {publication_year: 2015,paper_index: 1506.08473,title: Beating the Perils of Non-Convexity: Guaranteed Training of Neural
  Networks using Tensor Methods,authors: [Majid Janzamin, Hanie Sedghi, Anima Anandkumar]})"
"(:Paper {publication_year: 2017,paper_index: 1712.04741,title: Mathematics of Deep Learning,authors: [Rene Vidal, Joan Bruna, Raja Giryes, Stefano Soatto]})",[:CITES],"(:Paper {publication_year: 2017,paper_index: 1704.04932,title: Deep Relaxation: partial differential equations for optimizing deep
  neural networks,authors: [Pratik Chaudhari, Adam Oberman, Stanley Osher, Stefano Soatto, Guillaume Carlier]})"
"(:Paper {publication_year: 2017,paper_index: 1712.04741,title: Mathematics of Deep Learning,authors: [Rene Vidal, Joan Bruna, Raja Giryes, Stefano Soatto]})",[:CITES],"(:Paper {publication_year: 2016,paper_index: 1611.08097,title: Geometric deep learning: going beyond Euclidean data,authors: [Michael M. Bronstein, Joan Bruna, Yann LeCun, Arthur Szlam, Pierre Vandergheynst]})"
"(:Paper {publication_year: 2017,paper_index: 1712.04741,title: Mathematics of Deep Learning,authors: [Rene Vidal, Joan Bruna, Raja Giryes, Stefano Soatto]})",[:CITES],"(:Paper {publication_year: 2016,paper_index: 1605.09232,title: Tradeoffs between Convergence Speed and Reconstruction Accuracy in
  Inverse Problems,authors: [Raja Giryes, Yonina C. Eldar, Alex M. Bronstein, Guillermo Sapiro]})"
"(:Paper {publication_year: 2017,paper_index: 1712.04741,title: Mathematics of Deep Learning,authors: [Rene Vidal, Joan Bruna, Raja Giryes, Stefano Soatto]})",[:CITES],"(:Paper {publication_year: 2016,paper_index: 1607.08194,title: Convolutional Neural Networks Analyzed via Convolutional Sparse Coding,authors: [Vardan Papyan, Yaniv Romano, Michael Elad]})"
"(:Paper {publication_year: 2017,paper_index: 1712.04741,title: Mathematics of Deep Learning,authors: [Rene Vidal, Joan Bruna, Raja Giryes, Stefano Soatto]})",[:CITES],"(:Paper {publication_year: 2016,paper_index: 1605.07146,title: Wide Residual Networks,authors: [Sergey Zagoruyko, Nikos Komodakis]})"
"(:Paper {publication_year: 2018,paper_index: 1801.04016,title: Theoretical Impediments to Machine Learning With Seven Sparks from the
  Causal Revolution,authors: [Judea Pearl]})",[:CITES],"(:Paper {publication_year: 2017,paper_index: 1707.04327,title: Human-Level Intelligence or Animal-Like Abilities?,authors: [Adnan Darwiche]})"
"(:Paper {publication_year: 2017,paper_index: 1708.02709,title: Recent Trends in Deep Learning Based Natural Language Processing,authors: [Tom Young, Devamanyu Hazarika, Soujanya Poria, Erik Cambria]})",[:CITES],"(:Paper {publication_year: 2015,paper_index: 1506.07285,title: Ask Me Anything: Dynamic Memory Networks for Natural Language Processing,authors: [Ankit Kumar, Ozan Irsoy, Peter Ondruska, Mohit Iyyer, James Bradbury, Ishaan Gulrajani, Victor Zhong, Romain Paulus, Richard Socher]})"
"(:Paper {publication_year: 2018,paper_index: 1804.04438,title: Pooling is neither necessary nor sufficient for appropriate deformation
  stability in CNNs,authors: [Avraham Ruderman, Neil C. Rabinowitz, Ari S. Morcos, Daniel Zoran]})",[:CITES],"(:Paper {publication_year: 2017,paper_index: 1706.01350,title: Emergence of Invariance and Disentanglement in Deep Representations,authors: [Alessandro Achille, Stefano Soatto]})"
"(:Paper {publication_year: 2018,paper_index: 1804.04438,title: Pooling is neither necessary nor sufficient for appropriate deformation
  stability in CNNs,authors: [Avraham Ruderman, Neil C. Rabinowitz, Ari S. Morcos, Daniel Zoran]})",[:CITES],"(:Paper {publication_year: 2016,paper_index: 1611.03530,title: Understanding deep learning requires rethinking generalization,authors: [Chiyuan Zhang, Samy Bengio, Moritz Hardt, Benjamin Recht, Oriol Vinyals]})"
"(:Paper {publication_year: 2018,paper_index: 1804.03235,title: Large scale distributed neural network training through online
  distillation,authors: [Rohan Anil, Gabriel Pereyra, Alexandre Passos, Robert Ormandi, George E. Dahl, Geoffrey E. Hinton]})",[:CITES],"(:Paper {publication_year: 2013,paper_index: 1312.3005,title: One Billion Word Benchmark for Measuring Progress in Statistical
  Language Modeling,authors: [Ciprian Chelba, Tomas Mikolov, Mike Schuster, Qi Ge, Thorsten Brants, Phillipp Koehn, Tony Robinson]})"
"(:Paper {publication_year: 2018,paper_index: 1804.03235,title: Large scale distributed neural network training through online
  distillation,authors: [Rohan Anil, Gabriel Pereyra, Alexandre Passos, Robert Ormandi, George E. Dahl, Geoffrey E. Hinton]})",[:CITES],"(:Paper {publication_year: 2016,paper_index: 1604.00981,title: Revisiting Distributed Synchronous SGD,authors: [Jianmin Chen, Xinghao Pan, Rajat Monga, Samy Bengio, Rafal Jozefowicz]})"
"(:Paper {publication_year: 2018,paper_index: 1804.03235,title: Large scale distributed neural network training through online
  distillation,authors: [Rohan Anil, Gabriel Pereyra, Alexandre Passos, Robert Ormandi, George E. Dahl, Geoffrey E. Hinton]})",[:CITES],"(:Paper {publication_year: 2017,paper_index: 1706.02677,title: Accurate, Large Minibatch SGD: Training ImageNet in 1 Hour,authors: [Priya Goyal, Piotr Dollár, Ross Girshick, Pieter Noordhuis, Lukasz Wesolowski, Aapo Kyrola, Andrew Tulloch, Yangqing Jia, Kaiming He]})"
"(:Paper {publication_year: 2018,paper_index: 1804.03235,title: Large scale distributed neural network training through online
  distillation,authors: [Rohan Anil, Gabriel Pereyra, Alexandre Passos, Robert Ormandi, George E. Dahl, Geoffrey E. Hinton]})",[:CITES],"(:Paper {publication_year: 2015,paper_index: 1503.02531,title: Distilling the Knowledge in a Neural Network,authors: [Geoffrey Hinton, Oriol Vinyals, Jeff Dean]})"
"(:Paper {publication_year: 2018,paper_index: 1804.03235,title: Large scale distributed neural network training through online
  distillation,authors: [Rohan Anil, Gabriel Pereyra, Alexandre Passos, Robert Ormandi, George E. Dahl, Geoffrey E. Hinton]})",[:CITES],"(:Paper {publication_year: 2017,paper_index: 1701.06548,title: Regularizing Neural Networks by Penalizing Confident Output
  Distributions,authors: [Gabriel Pereyra, George Tucker, Jan Chorowski, Łukasz Kaiser, Geoffrey Hinton]})"
"(:Paper {publication_year: 2018,paper_index: 1804.03235,title: Large scale distributed neural network training through online
  distillation,authors: [Rohan Anil, Gabriel Pereyra, Alexandre Passos, Robert Ormandi, George E. Dahl, Geoffrey E. Hinton]})",[:CITES],"(:Paper {publication_year: 2017,paper_index: 1706.00384,title: Deep Mutual Learning,authors: [Ying Zhang, Tao Xiang, Timothy M. Hospedales, Huchuan Lu]})"
"(:Paper {publication_year: 2018,paper_index: 1803.10296,title: Quantum Machine Learning for Electronic Structure Calculations,authors: [Rongxin Xia, Sabre Kais]})",[:CITES],"(:Paper {publication_year: 2013,paper_index: 1307.0411,title: Quantum algorithms for supervised and unsupervised machine learning,authors: [Seth Lloyd, Masoud Mohseni, Patrick Rebentrost]})"
"(:Paper {publication_year: 2018,paper_index: 1803.10296,title: Quantum Machine Learning for Electronic Structure Calculations,authors: [Rongxin Xia, Sabre Kais]})",[:CITES],"(:Paper {publication_year: 2008,paper_index: 0804.4457,title: Image recognition with an adiabatic quantum computer I. Mapping to
  quadratic unconstrained binary optimization,authors: [Hartmut Neven, Geordie Rose, William G. Macready]})"
"(:Paper {publication_year: 2018,paper_index: 1803.10296,title: Quantum Machine Learning for Electronic Structure Calculations,authors: [Rongxin Xia, Sabre Kais]})",[:CITES],"(:Paper {publication_year: 2008,paper_index: 0811.0416,title: Training a Binary Classifier with the Quantum Adiabatic Algorithm,authors: [Hartmut Neven, Vasil S. Denchev, Geordie Rose, William G. Macready]})"
"(:Paper {publication_year: 2018,paper_index: 1803.10296,title: Quantum Machine Learning for Electronic Structure Calculations,authors: [Rongxin Xia, Sabre Kais]})",[:CITES],"(:Paper {publication_year: 2009,paper_index: 0912.0779,title: Training a Large Scale Classifier with the Quantum Adiabatic Algorithm,authors: [Hartmut Neven, Vasil S. Denchev, Geordie Rose, William G. Macready]})"
"(:Paper {publication_year: 2018,paper_index: 1803.10296,title: Quantum Machine Learning for Electronic Structure Calculations,authors: [Rongxin Xia, Sabre Kais]})",[:CITES],"(:Paper {publication_year: 2017,paper_index: 1701.08213,title: Tapering off qubits to simulate fermionic Hamiltonians,authors: [Sergey Bravyi, Jay M. Gambetta, Antonio Mezzacapo, Kristan Temme]})"
"(:Paper {publication_year: 2018,paper_index: 1803.10296,title: Quantum Machine Learning for Electronic Structure Calculations,authors: [Rongxin Xia, Sabre Kais]})",[:CITES],"(:Paper {publication_year: 2018,paper_index: 1804.05453,title: Quantum computing methods for electronic states of the water molecule,authors: [Teng Bian, Daniel Murphy, Rongxin Xia, Ammar Daskin, Sabre Kais]})"
"(:Paper {publication_year: 2018,paper_index: 1803.10296,title: Quantum Machine Learning for Electronic Structure Calculations,authors: [Rongxin Xia, Sabre Kais]})",[:CITES],"(:Paper {publication_year: 2017,paper_index: 1710.07629,title: OpenFermion: The Electronic Structure Package for Quantum Computers,authors: [Jarrod R. McClean, Kevin J. Sung, Ian D. Kivlichan, Yudong Cao, Chengyu Dai, E. Schuyler Fried, Craig Gidney, Brendan Gimby, Pranav Gokhale, Thomas Häner, Tarini Hardikar, Vojtěch Havlíček, Oscar Higgott, Cupjin Huang, Josh Izaac, Zhang Jiang, Xinle Liu, Sam McArdle, Matthew Neeley, Thomas O'Brien, Bryan O'Gorman, Isil Ozfidan, Maxwell D. Radin, Jhonathan Romero, Nicholas Rubin, Nicolas P. D. Sawaya, Kanav Setia, Sukin Sim, Damian S. Steiger, Mark Steudtner, Qiming Sun, Wei Sun, Daochen Wang, Fang Zhang, Ryan Babbush]})"
"(:Paper {publication_year: 2017,paper_index: 1712.04741,title: Mathematics of Deep Learning,authors: [Rene Vidal, Joan Bruna, Raja Giryes, Stefano Soatto]})",[:CITES],"(:Paper {publication_year: 2015,paper_index: 1506.07540,title: Global Optimality in Tensor Factorization, Deep Learning, and Beyond,authors: [Benjamin D. Haeffele, Rene Vidal]})"
